Field_Area,Discipline_Area
Humanities,Archeology
Humanities,Archeology
Humanities,Humanities
Humanities,Humanities
Humanities,Humanities
Humanities,Humanities
Humanities,Humanities
Humanities,Linguistics
Humanities,Linguistics
Humanities,Linguistics
Humanities,Linguistics
Humanities,Linguistics
Humanities,Linguistics
Humanities,Linguistics
Humanities,Linguistics
Humanities,Literary Studies
Humanities,Humanities
Humanities,Humanities
Humanities,Humanities
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Humanities,Anthropology
Social Sciences,Education
Social Sciences,Social and Behavioural Sciences
Social Sciences,Social and Behavioural Sciences
Social Sciences,Social and Behavioural Sciences
Social Sciences,Social and Behavioural Sciences
Social Sciences,Psychology
Social Sciences,Psychology
Social Sciences,Psychology
Social Sciences,Psychology
Social Sciences,Psychology
Social Sciences,Psychology
Social Sciences,Psychology
Social Sciences,Psychology
Social Sciences,Psychology
Social Sciences,Social Sciences
Social Sciences,Social Sciences
Social Sciences,Social Sciences
Social Sciences,Social Sciences
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Biology
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
Life Sciences,Medicine
